run,model,path,peak_iteration,peak_step,peak_triplet,final_fe,early_triplets,stats_file,loss,nll,variance_scaler
GP_Ph_F73,GP_Ph_F,GP_Ph_F/GP_Ph_F73,1,-1,27,0.2452333333333333,3 27 21,stats_18.csv,-1.6201671361923218,,
GP_Ph_F92,GP_Ph_F,GP_Ph_F/GP_Ph_F92,1,-1,27,0.2452333333333333,12 27 15,stats_19.csv,-1.562730312347412,,
GP_Ph_F27,GP_Ph_F,GP_Ph_F/GP_Ph_F27,2,0,27,0.2452333333333333,15 6 27,stats_19.csv,-1.5575591325759888,,
GP_Ph_F30,GP_Ph_F,GP_Ph_F/GP_Ph_F30,2,0,27,0.2452333333333333,8 18 27,,,,
GP_Ph_F40,GP_Ph_F,GP_Ph_F/GP_Ph_F40,2,0,27,0.2452333333333333,24 25 27,stats_16.csv,-1.757909059524536,,
GP_Ph_F97,GP_Ph_F,GP_Ph_F/GP_Ph_F97,2,0,27,0.2452333333333333,15 26 27,stats_21.csv,-1.5765058994293213,,
GP_Ph_F11,GP_Ph_F,GP_Ph_F/GP_Ph_F11,3,1,27,0.2452333333333333,29 15 26,stats_20.csv,-1.5070616006851196,,
GP_Ph_F45,GP_Ph_F,GP_Ph_F/GP_Ph_F45,3,1,27,0.2452333333333333,7 28 9,stats_21.csv,-1.638502597808838,,
GP_Ph_F49,GP_Ph_F,GP_Ph_F/GP_Ph_F49,3,1,27,0.2452333333333333,26 17 3,stats_18.csv,-1.525638222694397,,
GP_Ph_F65,GP_Ph_F,GP_Ph_F/GP_Ph_F65,3,1,27,0.2452333333333333,23 1 3,stats_16.csv,-1.60614013671875,,
GP_Ph_F80,GP_Ph_F,GP_Ph_F/GP_Ph_F80,3,1,27,0.2452333333333333,29 24 2,stats_17.csv,-1.7778699398040771,,
GP_Ph_F1,GP_Ph_F,GP_Ph_F/GP_Ph_F1,4,2,27,0.2452333333333333,22 4 17,stats_18.csv,-1.733777403831482,,
GP_Ph_F21,GP_Ph_F,GP_Ph_F/GP_Ph_F21,4,2,27,0.2452333333333333,26 5 2,stats_20.csv,-1.6448684930801392,,
GP_Ph_F29,GP_Ph_F,GP_Ph_F/GP_Ph_F29,4,2,27,0.2452333333333333,12 5 0,stats_20.csv,-1.5498449802398682,,
GP_Ph_F41,GP_Ph_F,GP_Ph_F/GP_Ph_F41,4,2,27,0.2452333333333333,9 21 20,stats_18.csv,-1.545704960823059,,
GP_Ph_F57,GP_Ph_F,GP_Ph_F/GP_Ph_F57,4,2,27,0.2452333333333333,16 6 3,stats_18.csv,-1.2805269956588743,,
GP_Ph_F61,GP_Ph_F,GP_Ph_F/GP_Ph_F61,4,2,27,0.2452333333333333,26 9 2,stats_15.csv,-1.721466302871704,,
GP_Ph_F71,GP_Ph_F,GP_Ph_F/GP_Ph_F71,4,2,27,0.2452333333333333,23 17 24,stats_15.csv,-1.8463114500045776,,
GP_Ph_F94,GP_Ph_F,GP_Ph_F/GP_Ph_F94,4,2,27,0.2452333333333333,7 9 20,stats_18.csv,-1.487939715385437,,
GP_Ph_F25,GP_Ph_F,GP_Ph_F/GP_Ph_F25,5,3,27,0.2452333333333333,2 21 13,stats_16.csv,-1.6043925285339355,,
GP_Ph_F39,GP_Ph_F,GP_Ph_F/GP_Ph_F39,5,3,27,0.2452333333333333,16 26 17,stats_16.csv,-1.7430256605148315,,
GP_Ph_F43,GP_Ph_F,GP_Ph_F/GP_Ph_F43,5,3,27,0.2452333333333333,26 24 25,stats_15.csv,-1.6424037218093872,,
GP_Ph_F6,GP_Ph_F,GP_Ph_F/GP_Ph_F6,5,3,27,0.2452333333333333,16 10 29,stats_18.csv,-1.543251872062683,,
GP_Ph_F75,GP_Ph_F,GP_Ph_F/GP_Ph_F75,5,3,27,0.2452333333333333,21 26 23,stats_15.csv,-1.7815978527069092,,
GP_Ph_F77,GP_Ph_F,GP_Ph_F/GP_Ph_F77,5,3,27,0.2452333333333333,19 22 17,stats_18.csv,-1.889815211296081,,
GP_Ph_F79,GP_Ph_F,GP_Ph_F/GP_Ph_F79,5,3,27,0.2452333333333333,26 11 0,stats_22.csv,-1.640056848526001,,
GP_Ph_F82,GP_Ph_F,GP_Ph_F/GP_Ph_F82,5,3,27,0.2452333333333333,17 21 2,stats_17.csv,-1.6450846195220947,,
GP_Ph_F86,GP_Ph_F,GP_Ph_F/GP_Ph_F86,5,3,27,0.2452333333333333,15 28 5,stats_19.csv,-1.7110241651535034,,
GP_Ph_F90,GP_Ph_F,GP_Ph_F/GP_Ph_F90,5,3,27,0.2452333333333333,12 3 14,stats_18.csv,-1.5065008401870728,,
GP_Ph_F98,GP_Ph_F,GP_Ph_F/GP_Ph_F98,5,3,27,0.2452333333333333,20 15 24,stats_18.csv,-1.4936939477920532,,
GP_Ph_F99,GP_Ph_F,GP_Ph_F/GP_Ph_F99,5,3,27,0.2452333333333333,26 6 22,stats_19.csv,-1.3707213401794434,,
GP_Ph_F16,GP_Ph_F,GP_Ph_F/GP_Ph_F16,6,4,27,0.2452333333333333,17 23 26,stats_18.csv,-1.5531376600265503,,
GP_Ph_F2,GP_Ph_F,GP_Ph_F/GP_Ph_F2,6,4,27,0.2452333333333333,3 26 1,stats_18.csv,-1.5861812829971311,,
GP_Ph_F22,GP_Ph_F,GP_Ph_F/GP_Ph_F22,6,4,27,0.2452333333333333,11 26 1,stats_18.csv,-1.5154272317886353,,
GP_Ph_F32,GP_Ph_F,GP_Ph_F/GP_Ph_F32,6,4,27,0.2452333333333333,7 21 17,stats_15.csv,-2.000818967819214,,
GP_Ph_F46,GP_Ph_F,GP_Ph_F/GP_Ph_F46,6,4,27,0.2452333333333333,0 9 3,stats_18.csv,-1.4272974729537964,,
GP_Ph_F5,GP_Ph_F,GP_Ph_F/GP_Ph_F5,6,4,27,0.2452333333333333,16 12 2,stats_16.csv,-1.751279592514038,,
GP_Ph_F56,GP_Ph_F,GP_Ph_F/GP_Ph_F56,6,4,27,0.2452333333333333,29 23 1,stats_15.csv,-1.8060094118118288,,
GP_Ph_F58,GP_Ph_F,GP_Ph_F/GP_Ph_F58,6,4,27,0.2452333333333333,11 20 17,stats_20.csv,-1.5961863994598389,,
GP_Ph_F60,GP_Ph_F,GP_Ph_F/GP_Ph_F60,6,4,27,0.2452333333333333,9 4 20,stats_19.csv,-1.393551230430603,,
GP_Ph_F72,GP_Ph_F,GP_Ph_F/GP_Ph_F72,6,4,27,0.2452333333333333,5 19 2,stats_17.csv,-1.3335202932357788,,
GP_Ph_F91,GP_Ph_F,GP_Ph_F/GP_Ph_F91,6,4,27,0.2452333333333333,0 18 7,stats_18.csv,-1.647877812385559,,
GP_Ph_F15,GP_Ph_F,GP_Ph_F/GP_Ph_F15,7,5,27,0.2452333333333333,2 19 15,stats_20.csv,-1.5778684616088867,,
GP_Ph_F26,GP_Ph_F,GP_Ph_F/GP_Ph_F26,7,5,27,0.2452333333333333,25 15 19,stats_16.csv,-1.4435256719589231,,
GP_Ph_F44,GP_Ph_F,GP_Ph_F/GP_Ph_F44,7,5,27,0.2452333333333333,28 6 16,stats_18.csv,-1.6603423357009888,,
GP_Ph_F62,GP_Ph_F,GP_Ph_F/GP_Ph_F62,7,5,27,0.2452333333333333,12 18 14,stats_20.csv,-1.4408066272735596,,
GP_Ph_F64,GP_Ph_F,GP_Ph_F/GP_Ph_F64,7,5,27,0.2452333333333333,16 28 18,stats_20.csv,-1.378566026687622,,
GP_Ph_F76,GP_Ph_F,GP_Ph_F/GP_Ph_F76,7,5,27,0.2452333333333333,7 9 16,stats_14.csv,-1.7720375061035156,,
GP_Ph_F8,GP_Ph_F,GP_Ph_F/GP_Ph_F8,7,5,27,0.2452333333333333,6 12 21,stats_21.csv,-1.2947156429290771,,
GP_Ph_F83,GP_Ph_F,GP_Ph_F/GP_Ph_F83,7,5,27,0.2452333333333333,18 3 28,stats_19.csv,-1.4596987962722778,,
GP_Ph_F88,GP_Ph_F,GP_Ph_F/GP_Ph_F88,7,5,27,0.2452333333333333,20 0 17,stats_19.csv,-1.4740177392959597,,
GP_Ph_F10,GP_Ph_F,GP_Ph_F/GP_Ph_F10,8,6,27,0.2452333333333333,4 20 9,stats_19.csv,-1.503103733062744,,
GP_Ph_F3,GP_Ph_F,GP_Ph_F/GP_Ph_F3,8,6,27,0.2452333333333333,13 1 15,stats_18.csv,-1.3522592782974243,,
GP_Ph_F31,GP_Ph_F,GP_Ph_F/GP_Ph_F31,8,6,27,0.2452333333333333,12 4 23,stats_18.csv,-1.63333261013031,,
GP_Ph_F35,GP_Ph_F,GP_Ph_F/GP_Ph_F35,8,6,27,0.2452333333333333,24 2 13,stats_14.csv,-1.7829660177230835,,
